Probability Params: 0.100000 0.300000 0.300000.
Version: 3
Num processors: 128
Number of Nodes: 15 Number of Edges: 1000000
Probability Params: 0.100000 0.300000 0.300000.
Version: 3
Num processors: 128
Number of Nodes: 15 Number of Edges: 1000000
Probability Params: 0.100000 0.300000 0.300000.
Version: 3
Num processors: 128
Number of Nodes: 15 Number of Edges: 1000000
Probability Params: 0.100000 0.300000 0.300000.
Version: 3
Num processors: 128
Number of Nodes: 15 Number of Edges: 1000000
Probability Params: 0.100000 0.300000 0.300000.
Version: 3
Num processors: 128
Number of Nodes: 15 Number of Edges: 1000000
Probability Params: 0.100000 0.300000 0.300000.
Version: 3
Num processors: 128
Number of Nodes: 15 Number of Edges: 1000000
Probability Params: 0.100000 0.300000 0.300000.
Version: 3
Num processors: 128
Number of Nodes: 15 Number of Edges: 1000000
Probability Params: 0.100000 0.300000 0.300000.
Version: 3
Num processors: 128
Number of Nodes: 15 Number of Edges: 1000000
Probability Params: 0.100000 0.300000 0.300000.
Version: 3
Num processors: 128
Number of Nodes: 15 Number of Edges: 1000000
Probability Params: 0.100000 0.300000 0.300000.
Version: 3
Num processors: 128
Number of Nodes: 15 Number of Edges: 1000000
Probability Params: 0.100000 0.300000 0.300000.
Version: 3
Num processors: 128
Number of Nodes: 15 Number of Edges: 1000000
Probability Params: 0.100000 0.300000 0.300000.
Version: 3
Num processors: 128
Number of Nodes: 15 Number of Edges: 1000000
Probability Params: 0.100000 0.300000 0.300000.
Version: 3
Num processors: 128
Process: 77, time for step 2: 0.000199
Process: 77, time for step 3: 0.029594
Process: 77, time for step 4: 0.000350
Process: 77, time for step 5: 0.014077
Process: 77, time for step 6: 0.020019
Process: 77, time for step 7: 0.028451
Process: 48, time for step 1: 0.043286
Process: 48, time for step 2: 0.000235
Process: 48, time for step 3: 0.026931
Process: 48, time for step 4: 0.000397
Process: 48, time for step 5: 0.017268
Process: 48, time for step 6: 0.010723
Process: 48, time for step 7: 0.028809
Process: 35, time for step 1: 0.042100
Process: 35, time for step 2: 0.000240
Process: 35, time for step 3: 0.026421
Process: 35, time for step 4: 0.000379
Process: 35, time for step 5: 0.017376
Process: 35, time for step 6: 0.014603
Process: 35, time for step 7: 0.025729
Process: 54, time for step 1: 0.038606
Process: 54, time for step 2: 0.000203
Process: 54, time for step 3: 0.027433
Process: 54, time for step 4: 0.000359
Process: 54, time for step 5: 0.016638
Process: 54, time for step 6: 0.019209
Process: 54, time for step 7: 0.024131
Process: 37, time for step 1: 0.037797
Process: 37, time for step 2: 0.000219
Process: 37, time for step 3: 0.026416
Process: 37, time for step 4: 0.000378
Process: 37, time for step 5: 0.017260
Process: 37, time for step 6: 0.014074
Process: 37, time for step 7: 0.030265
Process: 76, time for step 1: 0.035448
Process: 76, time for step 2: 0.000221
Process: 76, time for step 3: 0.030590
Process: 76, time for step 4: 0.000378
Process: 76, time for step 5: 0.013540
Process: 76, time for step 6: 0.014256
Process: 76, time for step 7: 0.032189
Process: 33, time for step 1: 0.041178
Process: 33, time for step 2: 0.000272
Process: 33, time for step 3: 0.027151
Process: 33, time for step 4: 0.000402
Process: 33, time for step 5: 0.016651
Process: 33, time for step 6: 0.010406
Process: 33, time for step 7: 0.031035
Process: 72, time for step 1: 0.034856
Process: 72, time for step 2: 0.000259
Process: 72, time for step 3: 0.029676
Process: 72, time for step 4: 0.000402
Process: 72, time for step 5: 0.014423
Process: 72, time for step 6: 0.010939
Process: 72, time for step 7: 0.036733
Process: 23, time for step 1: 0.040589
Process: 23, time for step 2: 0.000193
Process: 23, time for step 3: 0.025350
Process: 23, time for step 4: 0.000350
Process: 23, time for step 5: 0.018421
Process: 23, time for step 6: 0.018883
Process: 23, time for step 7: 0.022158
Process: 104, time for step 1: 0.030846
Process: 104, time for step 2: 0.000238
Process: 104, time for step 3: 0.031370
Process: 104, time for step 4: 0.000383
Process: 104, time for step 5: 0.012554
Process: 104, time for step 6: 0.015251
Process: 104, time for step 7: 0.036400
Process: 21, time for step 1: 0.041182
Process: 21, time for step 2: 0.000252
Process: 21, time for step 3: 0.025155
Process: 21, time for step 4: 0.000381
Process: 21, time for step 5: 0.018585
Process: 21, time for step 6: 0.014084
Process: 21, time for step 7: 0.027020
Process: 50, time for step 1: 0.035800
Process: 50, time for step 2: 0.000226
Process: 50, time for step 3: 0.028784
Process: 50, time for step 4: 0.000373
Process: 50, time for step 5: 0.015407
Process: 50, time for step 6: 0.014664
Process: 50, time for step 7: 0.031089
Process: 19, time for step 1: 0.043232
Process: 19, time for step 2: 0.000220
Process: 19, time for step 3: 0.024672
Process: 19, time for step 4: 0.000370
Process: 19, time for step 5: 0.019111
Process: 19, time for step 6: 0.014352
Process: 19, time for step 7: 0.024714
Process: 17, time for step 1: 0.047262
Process: 17, time for step 2: 0.000240
Process: 17, time for step 3: 0.024313
Process: 17, time for step 4: 0.000390
Process: 17, time for step 5: 0.019494
Process: 17, time for step 6: 0.010941
Process: 17, time for step 7: 0.024526
Process: 78, time for step 1: 0.033606
Process: 78, time for step 2: 0.000207
Process: 78, time for step 3: 0.030523
Process: 78, time for step 4: 0.000364
Process: 78, time for step 5: 0.013537
Process: 78, time for step 6: 0.019349
Process: 78, time for step 7: 0.028866
Process: 39, time for step 1: 0.039226
Process: 39, time for step 2: 0.000195
Process: 39, time for step 3: 0.025948
Process: 39, time for step 4: 0.000358
Process: 39, time for step 5: 0.017739
Process: 39, time for step 6: 0.018867
Process: 39, time for step 7: 0.023691
Process: 74, time for step 1: 0.034932
Process: 74, time for step 2: 0.000251
Process: 74, time for step 3: 0.030140
Process: 74, time for step 4: 0.000386
Process: 74, time for step 5: 0.013931
Process: 74, time for step 6: 0.014180
Process: 74, time for step 7: 0.032960
Process: 107, time for step 1: 0.031799
Process: 107, time for step 2: 0.000180
Process: 107, time for step 3: 0.028358
Process: 107, time for step 4: 0.000343
Process: 107, time for step 5: 0.015306
Process: 107, time for step 6: 0.026638
Process: 107, time for step 7: 0.022841
Process: 106, time for step 1: 0.026555
Process: 106, time for step 2: 0.000195
Process: 106, time for step 3: 0.031113
Process: 106, time for step 4: 0.000354
Process: 106, time for step 5: 0.012631
Process: 106, time for step 6: 0.020406
Process: 106, time for step 7: 0.034994
Process: 109, time for step 1: 0.030828
Process: 109, time for step 2: 0.000180
Process: 109, time for step 3: 0.029410
Process: 109, time for step 4: 0.000350
Process: 109, time for step 5: 0.014040
Process: 109, time for step 6: 0.026689
Process: 109, time for step 7: 0.024237
Process: 110, time for step 1: 0.030323
Process: 110, time for step 2: 0.000183
Process: 110, time for step 3: 0.028811
Process: 110, time for step 4: 0.000349
Process: 110, time for step 5: 0.014853
Process: 110, time for step 6: 0.027251
Process: 110, time for step 7: 0.024020
Process: 111, time for step 1: 0.024756
Process: 111, time for step 2: 0.000173
Process: 111, time for step 3: 0.028887
Process: 111, time for step 4: 0.000334
Process: 111, time for step 5: 0.014499
Process: 111, time for step 6: 0.034397
Process: 111, time for step 7: 0.021608
Process: 108, time for step 1: 0.031831
Process: 108, time for step 2: 0.000232
Process: 108, time for step 3: 0.030360
Process: 108, time for step 4: 0.000373
Process: 108, time for step 5: 0.013273
Process: 108, time for step 6: 0.019960
Process: 108, time for step 7: 0.030599
Process: 105, time for step 1: 0.034055
Process: 105, time for step 2: 0.000201
Process: 105, time for step 3: 0.029444
Process: 105, time for step 4: 0.000370
Process: 105, time for step 5: 0.014254
Process: 105, time for step 6: 0.020058
Process: 105, time for step 7: 0.027736
Process: 68, time for step 1: 0.037836
Process: 68, time for step 2: 0.000255
Process: 68, time for step 3: 0.029278
Process: 68, time for step 4: 0.000398
Process: 68, time for step 5: 0.015040
Process: 68, time for step 6: 0.010590
Process: 68, time for step 7: 0.033504
Process: 15, time for step 1: 0.043664
Process: 15, time for step 2: 0.000198
Process: 15, time for step 3: 0.024502
Process: 15, time for step 4: 0.000354
Process: 15, time for step 5: 0.019504
Process: 15, time for step 6: 0.018398
Process: 15, time for step 7: 0.019543
Process: 9, time for step 1: 0.048192
Process: 9, time for step 2: 0.000236
Process: 9, time for step 3: 0.023512
Process: 9, time for step 4: 0.000392
Process: 9, time for step 5: 0.020685
Process: 9, time for step 6: 0.010302
Process: 9, time for step 7: 0.024206
Process: 70, time for step 1: 0.033473
Process: 70, time for step 2: 0.000237
Process: 70, time for step 3: 0.029738
Process: 70, time for step 4: 0.000373
Process: 70, time for step 5: 0.014473
Process: 70, time for step 6: 0.014422
Process: 70, time for step 7: 0.033958
Process: 13, time for step 1: 0.043711
Process: 13, time for step 2: 0.000237
Process: 13, time for step 3: 0.024928
Process: 13, time for step 4: 0.000375
Process: 13, time for step 5: 0.019089
Process: 13, time for step 6: 0.014247
Process: 13, time for step 7: 0.024147
Process: 66, time for step 1: 0.038984
Process: 66, time for step 2: 0.000223
Process: 66, time for step 3: 0.028700
Process: 66, time for step 4: 0.000384
Process: 66, time for step 5: 0.015560
Process: 66, time for step 6: 0.010850
Process: 66, time for step 7: 0.032238
Process: 97, time for step 1: 0.034974
Process: 97, time for step 2: 0.000202
Process: 97, time for step 3: 0.030203
Process: 97, time for step 4: 0.000372
Process: 97, time for step 5: 0.013650
Process: 97, time for step 6: 0.014776
Process: 97, time for step 7: 0.032323
Process: 64, time for step 1: 0.033197
Process: 64, time for step 2: 0.000242
Process: 64, time for step 3: 0.030280
Process: 64, time for step 4: 0.000402
Process: 64, time for step 5: 0.014090
Process: 64, time for step 6: 0.008119
Process: 64, time for step 7: 0.040895
Process: 101, time for step 1: 0.032300
Process: 101, time for step 2: 0.000219
Process: 101, time for step 3: 0.030619
Process: 101, time for step 4: 0.000372
Process: 101, time for step 5: 0.012869
Process: 101, time for step 6: 0.019545
Process: 101, time for step 7: 0.030473
Process: 80, time for step 1: 0.038547
Process: 80, time for step 2: 0.000247
Process: 80, time for step 3: 0.029034
Process: 80, time for step 4: 0.000394
Process: 80, time for step 5: 0.015111
Process: 80, time for step 6: 0.010765
Process: 80, time for step 7: 0.032838
Process: 99, time for step 1: 0.029259
Process: 99, time for step 2: 0.000214
Process: 99, time for step 3: 0.030227
Process: 99, time for step 4: 0.000368
Process: 99, time for step 5: 0.013175
Process: 99, time for step 6: 0.019295
Process: 99, time for step 7: 0.033851
Process: 86, time for step 1: 0.035583
Process: 86, time for step 2: 0.000225
Process: 86, time for step 3: 0.028764
Process: 86, time for step 4: 0.000371
Process: 86, time for step 5: 0.015271
Process: 86, time for step 6: 0.019928
Process: 86, time for step 7: 0.026407
Process: 103, time for step 1: 0.031221
Process: 103, time for step 2: 0.000190
Process: 103, time for step 3: 0.028925
Process: 103, time for step 4: 0.000349
Process: 103, time for step 5: 0.014501
Process: 103, time for step 6: 0.025700
Process: 103, time for step 7: 0.024520
Process: 113, time for step 1: 0.030215
Process: 113, time for step 2: 0.000206
Process: 113, time for step 3: 0.031004
Process: 113, time for step 4: 0.000365
Process: 113, time for step 5: 0.011963
Process: 113, time for step 6: 0.020425
Process: 113, time for step 7: 0.032041
Process: 84, time for step 1: 0.035329
Process: 84, time for step 2: 0.000218
Process: 84, time for step 3: 0.030411
Process: 84, time for step 4: 0.000377
Process: 84, time for step 5: 0.013724
Process: 84, time for step 6: 0.014482
Process: 84, time for step 7: 0.032657
Process: 119, time for step 1: 0.024630
Process: 119, time for step 2: 0.000184
Process: 119, time for step 3: 0.029428
Process: 119, time for step 4: 0.000337
Process: 119, time for step 5: 0.013358
Process: 119, time for step 6: 0.034260
Process: 119, time for step 7: 0.022557
Process: 82, time for step 1: 0.036272
Process: 82, time for step 2: 0.000261
Process: 82, time for step 3: 0.029741
Process: 82, time for step 4: 0.000392
Process: 82, time for step 5: 0.014298
Process: 82, time for step 6: 0.014526
Process: 82, time for step 7: 0.031588
Process: 117, time for step 1: 0.028589
Process: 117, time for step 2: 0.000212
Process: 117, time for step 3: 0.030069
Process: 117, time for step 4: 0.000363
Process: 117, time for step 5: 0.012882
Process: 117, time for step 6: 0.026706
Process: 117, time for step 7: 0.026590
Process: 62, time for step 1: 0.033912
Process: 62, time for step 2: 0.000196
Process: 62, time for step 3: 0.027794
Process: 62, time for step 4: 0.000342
Process: 62, time for step 5: 0.016266
Process: 62, time for step 6: 0.027035
Process: 62, time for step 7: 0.020293
Process: 115, time for step 1: 0.028940
Process: 115, time for step 2: 0.000188
Process: 115, time for step 3: 0.030140
Process: 115, time for step 4: 0.000348
Process: 115, time for step 5: 0.012842
Process: 115, time for step 6: 0.027306
Process: 115, time for step 7: 0.025902
Process: 7, time for step 1: 0.045409
Process: 7, time for step 2: 0.000249
Process: 7, time for step 3: 0.023222
Process: 7, time for step 4: 0.000386
Process: 7, time for step 5: 0.021138
Process: 7, time for step 6: 0.013665
Process: 7, time for step 7: 0.022524
Process: 124, time for step 1: 0.027634
Process: 124, time for step 2: 0.000189
Process: 124, time for step 3: 0.030916
Process: 124, time for step 4: 0.000344
Process: 124, time for step 5: 0.012737
Process: 124, time for step 6: 0.027373
Process: 124, time for step 7: 0.026874
Process: 3, time for step 1: 0.045906
Process: 3, time for step 2: 0.000245
Process: 3, time for step 3: 0.022988
Process: 3, time for step 4: 0.000394
Process: 3, time for step 5: 0.021793
Process: 3, time for step 6: 0.009831
Process: 3, time for step 7: 0.025927
Process: 126, time for step 1: 0.022379
Process: 126, time for step 2: 0.000177
Process: 126, time for step 3: 0.030918
Process: 126, time for step 4: 0.000347
Process: 126, time for step 5: 0.012739
Process: 126, time for step 6: 0.034829
Process: 126, time for step 7: 0.023420
Process: 5, time for step 1: 0.047251
Process: 5, time for step 2: 0.000229
Process: 5, time for step 3: 0.022948
Process: 5, time for step 4: 0.000381
Process: 5, time for step 5: 0.021486
Process: 5, time for step 6: 0.010181
Process: 5, time for step 7: 0.024599
Process: 81, time for step 1: 0.036124
Process: 81, time for step 2: 0.000209
Process: 81, time for step 3: 0.029179
Process: 81, time for step 4: 0.000372
Process: 81, time for step 5: 0.014397
Process: 81, time for step 6: 0.014783
Process: 81, time for step 7: 0.031469
Process: 92, time for step 1: 0.032063
Process: 92, time for step 2: 0.000222
Process: 92, time for step 3: 0.029781
Process: 92, time for step 4: 0.000367
Process: 92, time for step 5: 0.014026
Process: 92, time for step 6: 0.020290
Process: 92, time for step 7: 0.029531
Process: 83, time for step 1: 0.033523
Process: 83, time for step 2: 0.000219
Process: 83, time for step 3: 0.029285
Process: 83, time for step 4: 0.000362
Process: 83, time for step 5: 0.014037
Process: 83, time for step 6: 0.019533
Process: 83, time for step 7: 0.028532
Process: 120, time for step 1: 0.031248
Process: 120, time for step 2: 0.000205
Process: 120, time for step 3: 0.031490
Process: 120, time for step 4: 0.000361
Process: 120, time for step 5: 0.012244
Process: 120, time for step 6: 0.021019
Process: 120, time for step 7: 0.029841
Process: 85, time for step 1: 0.033601
Process: 85, time for step 2: 0.000199
Process: 85, time for step 3: 0.029491
Process: 85, time for step 4: 0.000353
Process: 85, time for step 5: 0.013871
Process: 85, time for step 6: 0.020090
Process: 85, time for step 7: 0.027854
Process: 122, time for step 1: 0.028823
Process: 122, time for step 2: 0.000183
Process: 122, time for step 3: 0.029710
Process: 122, time for step 4: 0.000346
Process: 122, time for step 5: 0.013996
Process: 122, time for step 6: 0.027805
Process: 122, time for step 7: 0.025195
Process: 87, time for step 1: 0.031801
Process: 87, time for step 2: 0.000183
Process: 87, time for step 3: 0.028915
Process: 87, time for step 4: 0.000343
Process: 87, time for step 5: 0.014330
Process: 87, time for step 6: 0.026751
Process: 87, time for step 7: 0.023245
Process: 1, time for step 1: 0.043540
Process: 1, time for step 2: 0.000290
Process: 1, time for step 3: 0.022556
Process: 1, time for step 4: 0.000428
Process: 1, time for step 5: 0.022183
Process: 1, time for step 6: 0.007516
Process: 1, time for step 7: 0.031109
Process: 42, time for step 1: 0.037850
Process: 42, time for step 2: 0.000246
Process: 42, time for step 3: 0.027740
Process: 42, time for step 4: 0.000387
Process: 42, time for step 5: 0.016180
Process: 42, time for step 6: 0.014214
Process: 42, time for step 7: 0.030095
Process: 43, time for step 1: 0.039475
Process: 43, time for step 2: 0.000200
Process: 43, time for step 3: 0.026588
Process: 43, time for step 4: 0.000355
Process: 43, time for step 5: 0.017351
Process: 43, time for step 6: 0.019748
Process: 43, time for step 7: 0.022496
Process: 46, time for step 1: 0.036303
Process: 46, time for step 2: 0.000202
Process: 46, time for step 3: 0.027952
Process: 46, time for step 4: 0.000360
Process: 46, time for step 5: 0.015957
Process: 46, time for step 6: 0.019504
Process: 46, time for step 7: 0.026174
Process: 45, time for step 1: 0.039525
Process: 45, time for step 2: 0.000207
Process: 45, time for step 3: 0.026565
Process: 45, time for step 4: 0.000357
Process: 45, time for step 5: 0.017367
Process: 45, time for step 6: 0.019389
Process: 45, time for step 7: 0.022748
Process: 44, time for step 1: 0.041329
Process: 44, time for step 2: 0.000218
Process: 44, time for step 3: 0.026867
Process: 44, time for step 4: 0.000378
Process: 44, time for step 5: 0.017016
Process: 44, time for step 6: 0.014168
Process: 44, time for step 7: 0.027228
Process: 47, time for step 1: 0.035946
Process: 47, time for step 2: 0.000188
Process: 47, time for step 3: 0.026585
Process: 47, time for step 4: 0.000347
Process: 47, time for step 5: 0.017271
